refund_id,order_id,quantity,subtotal,tax_subtotal,line_item_id,title,sku,product_id,product_type,variant_id,variant_sku,refund_line_item_id
gid://shopify/Refund/973788774499,#460847,1,39.99,2.4,gid://shopify/LineItem/15692855279715,Sahara Harem Pants,90112-PKT-S,gid://shopify/Product/6695196950627,Pants,gid://shopify/ProductVariant/40240619389027,90112-PKT-S,gid://shopify/Refund/973788774499_gid://shopify/LineItem/15692855279715
gid://shopify/Refund/974920810595,#460849,1,26.24,0.0,gid://shopify/LineItem/15693027442787,Sage Cotton Shorts,93147CSM,gid://shopify/Product/6926098890851,Shorts,gid://shopify/ProductVariant/40388518903907,93147CSM,gid://shopify/Refund/974920810595_gid://shopify/LineItem/15693027442787
gid://shopify/Refund/974920810595,#460849,1,23.99,0.0,gid://shopify/LineItem/15693027475555,Sahara Shorts,93112,gid://shopify/Product/6695983218787,Shorts,gid://shopify/ProductVariant/39728907321443,93112,gid://shopify/Refund/974920810595_gid://shopify/LineItem/15693027475555
gid://shopify/Refund/973678608483,#460855,1,31.99,1.44,gid://shopify/LineItem/15693217431651,Baja Harem Pants,90104-PKT-TAL-L,gid://shopify/Product/6633433694307,Pants,gid://shopify/ProductVariant/41621820866659,90104-PKT-TAL-L,gid://shopify/Refund/973678608483_gid://shopify/LineItem/15693217431651
gid://shopify/Refund/974106820707,#460866,1,24.0,2.01,gid://shopify/LineItem/15693557661795,Whale's Tail Charm Necklace,240MPN-S24-03,gid://shopify/Product/7489766719587,Necklace,gid://shopify/ProductVariant/42093384794211,240MPN-S24-03,gid://shopify/Refund/974106820707_gid://shopify/LineItem/15693557661795
gid://shopify/Refund/974191591523,#460871,1,55.2,3.59,gid://shopify/LineItem/15693659799651,Vintage Black Nomad Jumpsuit,81184C-ADJ-PET-S,gid://shopify/Product/7719694467171,Romper,gid://shopify/ProductVariant/43108330111075,81184C-ADJ-PET-S,gid://shopify/Refund/974191591523_gid://shopify/LineItem/15693659799651
gid://shopify/Refund/976781607011,#460873,1,36.99,2.04,gid://shopify/LineItem/15693682933859,Master Healer 3mm Healing Necklace,3HLN006,gid://shopify/Product/7621375754339,Necklace,gid://shopify/ProductVariant/42717099360355,3HLN006,gid://shopify/Refund/976781607011_gid://shopify/LineItem/15693682933859
gid://shopify/Refund/974106493027,#460899,1,24.0,1.86,gid://shopify/LineItem/15694174421091,Marina Grande Harem Pants,90183-PKT-PET-L,gid://shopify/Product/7275822055523,Pants,gid://shopify/ProductVariant/41566003626083,90183-PKT-PET-L,gid://shopify/Refund/974106493027_gid://shopify/LineItem/15694174421091
gid://shopify/Refund/972892569699,#460910,1,39.99,4.1,gid://shopify/LineItem/15694417264739,Rainforest Harem Pants,90188-PKT-S,gid://shopify/Product/7604687765603,Pants,gid://shopify/ProductVariant/42654009524323,90188-PKT-S,gid://shopify/Refund/972892569699_gid://shopify/LineItem/15694417264739
gid://shopify/Refund/973560381539,#460910,1,39.99,4.1,gid://shopify/LineItem/15694417231971,Black Harem Pants,90105-PKT-S,gid://shopify/Product/6799865839715,Pants,gid://shopify/ProductVariant/41633977761891,90105-PKT-S,gid://shopify/Refund/973560381539_gid://shopify/LineItem/15694417231971
gid://shopify/Refund/972676759651,#460921,1,54.99,0.0,gid://shopify/LineItem/15694728986723,White Wide Leg Beach Cotton Pants,91106C-PET-SM,gid://shopify/Product/6695215038563,Pants,gid://shopify/ProductVariant/40240562896995,91106C-PET-SM,gid://shopify/Refund/972676759651_gid://shopify/LineItem/15694728986723
gid://shopify/Refund/974760181859,#460926,1,41.39,3.6,gid://shopify/LineItem/15695008071779,Master Healer 2mm + Dewdrop Necklace Stack,VBUN-2MM05-DDN46-02,gid://shopify/Product/6923183456355,Necklace Stack,gid://shopify/ProductVariant/42994133368931,VBUN-2MM05-DDN46-02,gid://shopify/Refund/974760181859_gid://shopify/LineItem/15695008071779
gid://shopify/Refund/974188118115,#460932,1,39.99,3.52,gid://shopify/LineItem/15695164342371,Rainforest Harem Pants,90188-PKT-XL,gid://shopify/Product/7604687765603,Pants,gid://shopify/ProductVariant/42654009622627,90188-PKT-XL,gid://shopify/Refund/974188118115_gid://shopify/LineItem/15695164342371
gid://shopify/Refund/974198046819,#460934,1,39.74,4.11,gid://shopify/LineItem/15695195668579,Black Adventure Cargo Pants,80105C-S,gid://shopify/Product/7706531168355,Pants,gid://shopify/ProductVariant/43052888719459,80105C-S,gid://shopify/Refund/974198046819_gid://shopify/LineItem/15695195668579
gid://shopify/Refund/974198046819,#460934,1,27.74,2.87,gid://shopify/LineItem/15695195635811,Onyx Restore Ribbed Tank,59208RB-M,gid://shopify/Product/7688885108835,Tops,gid://shopify/ProductVariant/42983747420259,59208RB-M,gid://shopify/Refund/974198046819_gid://shopify/LineItem/15695195635811
gid://shopify/Refund/974187561059,#460941,1,39.99,2.8,gid://shopify/LineItem/15695246884963,Yao Tribal Print Harem Pants,90198-PKT-M,gid://shopify/Product/7592508358755,Pants,gid://shopify/ProductVariant/42608335847523,90198-PKT-M,gid://shopify/Refund/974187561059_gid://shopify/LineItem/15695246884963
gid://shopify/Refund/974193983587,#460958,1,39.99,2.4,gid://shopify/LineItem/15695564406883,Como Harem Pants,90116-PKT-PET-M,gid://shopify/Product/7576418254947,Pants,gid://shopify/ProductVariant/42558396530787,90116-PKT-PET-M,gid://shopify/Refund/974193983587_gid://shopify/LineItem/15695564406883
gid://shopify/Refund/974193983587,#460958,1,39.99,2.4,gid://shopify/LineItem/15695564374115,Baja Harem Pants,90104-PKT-PET-M,gid://shopify/Product/6633433694307,Pants,gid://shopify/ProductVariant/41457172086883,90104-PKT-PET-M,gid://shopify/Refund/974193983587_gid://shopify/LineItem/15695564374115
