order_id,line_item_id,created_at,updated_at,title,quantity,sku,product_id,product_type,variant_id,variant_sku,variant_price,original_total,discounted_total,discount_codes,discount_amounts
#477347,gid://shopify/LineItem/16023640440931,2025-04-17 05:14:20,2025-04-17 14:39:39,Deep Teal Harem Pants,1,90120-PKT-TAL-L,gid://shopify/Product/6873234079843,Pants,gid://shopify/ProductVariant/41621864677475,90120-PKT-TAL-L,39.99,39.99,39.99,,
#477347,gid://shopify/LineItem/16023640473699,2025-04-17 05:14:20,2025-04-17 14:39:39,Sahara Harem Pants,1,90112-PKT-TAL-L,gid://shopify/Product/6695196950627,Pants,gid://shopify/ProductVariant/41621841215587,90112-PKT-TAL-L,39.99,39.99,39.99,,
#477347,gid://shopify/LineItem/16023640932451,2025-04-17 05:14:20,2025-04-17 14:39:39,Mystery Harem Pants,1,MYST-HAR-TAL-L,gid://shopify/Product/6667793727587,Pants,gid://shopify/ProductVariant/42994426118243,MYST-HAR-TAL-L,22.22,22.22,22.22,,
#477348,gid://shopify/LineItem/16023716397155,2025-04-17 06:05:19,2025-04-17 06:07:08,Master Healer 4mm Healing Necklace,1,21078-EL,gid://shopify/Product/4704192397411,Necklace,gid://shopify/ProductVariant/43192713576547,21078-EL,42.99,42.99,42.99,,
#477349,gid://shopify/LineItem/16023767908451,2025-04-17 06:40:43,2025-04-17 14:39:42,Navy Blue Full Length Yin Scoop Neck Top,1,58193CL-M,gid://shopify/Product/7670310568035,Tops,gid://shopify/ProductVariant/42911269126243,58193CL-M,27.99,27.99,27.99,,
#477349,gid://shopify/LineItem/16023767941219,2025-04-17 06:40:43,2025-04-17 14:39:42,Pampa Point Harem Pants,1,90139-PKT-M,gid://shopify/Product/7566058782819,Pants,gid://shopify/ProductVariant/42518567616611,90139-PKT-M,36.99,36.99,36.99,,
#477350,gid://shopify/LineItem/16023768236131,2025-04-17 06:41:42,2025-04-17 06:41:51,Master Healer 2mm Metal Accent Healing Anklet,1,10498,gid://shopify/Product/6921115992163,Anklet,gid://shopify/ProductVariant/40371755941987,10498,30.0,30.0,30.0,L2IT19W4,10.0
#477351,gid://shopify/LineItem/16023809523811,2025-04-17 07:19:02,2025-04-17 07:19:19,Black Oasis Crop Top,1,82105-S,gid://shopify/Product/7157908537443,Tops,gid://shopify/ProductVariant/41208768135267,82105-S,9.99,9.99,9.99,WELCOME20,1.99
#477351,gid://shopify/LineItem/16023809556579,2025-04-17 07:19:02,2025-04-17 07:19:19,Rainforest Harem Pants,1,90188-PKT-M,gid://shopify/Product/7604687765603,Pants,gid://shopify/ProductVariant/42654009557091,90188-PKT-M,39.99,39.99,39.99,WELCOME20,7.99
#477352,gid://shopify/LineItem/16023836459107,2025-04-17 07:46:38,2025-04-17 07:46:56,Black Cotton Cabana Pants,1,98105C-PCKT-PET-M,gid://shopify/Product/6945826275427,Pants,gid://shopify/ProductVariant/42002208850019,98105C-PCKT-PET-M,54.99,54.99,54.99,sms20,10.99
#477352,gid://shopify/LineItem/16023836491875,2025-04-17 07:46:38,2025-04-17 07:46:56,Espresso Wide Leg Cotton Pants,1,91176C-M,gid://shopify/Product/7689320300643,Pants,gid://shopify/ProductVariant/42986348740707,91176C-M,54.99,54.99,54.99,sms20,10.99
#477352,gid://shopify/LineItem/16023836524643,2025-04-17 07:46:38,2025-04-17 07:46:56,Black Cotton Cabana Shorts,1,83105C-M,gid://shopify/Product/7160078303331,Shorts,gid://shopify/ProductVariant/41217711046755,83105C-M,34.99,34.99,34.99,sms20,6.99
#477353,gid://shopify/LineItem/16023914872931,2025-04-17 09:40:42,2025-04-17 09:42:34,Master Healer 3mm Healing Necklace,1,3HLN006,gid://shopify/Product/7621375754339,Necklace,gid://shopify/ProductVariant/42717099360355,3HLN006,36.99,36.99,36.99,,
#477354,gid://shopify/LineItem/16023917363299,2025-04-17 09:42:33,2025-04-17 09:42:42,Storm Cotton Shorts,1,93217CSM,gid://shopify/Product/7729835311203,Shorts,gid://shopify/ProductVariant/43161035407459,93217CSM,34.99,34.99,34.99,,
#477354,gid://shopify/LineItem/16023917396067,2025-04-17 09:42:33,2025-04-17 09:42:42,Dark Forest Harem Pants,1,90233-PKT-M,gid://shopify/Product/7726191607907,Pants,gid://shopify/ProductVariant/43135038914659,90233-PKT-M,39.99,39.99,39.99,,
#477355,gid://shopify/LineItem/16023947411555,2025-04-17 10:17:15,2025-04-17 10:17:44,Moon Shadow Harem Pants,1,90165-PKT-PET-L,gid://shopify/Product/7075020406883,Pants,gid://shopify/ProductVariant/40937731162211,90165-PKT-PET-L,39.99,39.99,39.99,,
#477355,gid://shopify/LineItem/16023947444323,2025-04-17 10:17:15,2025-04-17 10:17:44,Baja Harem Pants,1,90104-PKT-PET-L,gid://shopify/Product/6633433694307,Pants,gid://shopify/ProductVariant/41457172119651,90104-PKT-PET-L,39.99,39.99,39.99,,
#477355,gid://shopify/LineItem/16023947477091,2025-04-17 10:17:15,2025-04-17 10:17:44,Havana Harem Pants,1,90077-PKT-PET-L,gid://shopify/Product/7751451050083,Pants,gid://shopify/ProductVariant/43233121337443,90077-PKT-PET-L,39.99,39.99,39.99,,
#477355,gid://shopify/LineItem/16023948066915,2025-04-17 10:17:15,2025-04-17 10:17:44,Mystery Harem Pants,1,MYST-HAR-PET-L,gid://shopify/Product/6667793727587,Pants,gid://shopify/ProductVariant/42786175975523,MYST-HAR-PET-L,22.22,22.22,22.22,,
#477356,gid://shopify/LineItem/16023958945891,2025-04-17 10:30:11,2025-04-17 10:30:18,Master Healer 2mm Metal Accent Healing Anklet,1,10499,gid://shopify/Product/6921115992163,Anklet,gid://shopify/ProductVariant/40371755974755,10499,30.0,30.0,30.0,sms20,6.0
