order_id,delivery_id,ship_date,scheduled_date,invoice_id,invoice_number,invoice_amount_residual,due_date,channel,payment_terms,invoice_move_id,payment_ids,total_paid,amount_residual
#R7QDXHFV3E,117022,2025-03-07 18:33:22,2025-03-07 08:00:00,807878,INV/2025/00790,51.76,2025-04-06 18:33:22,Faire,30 Days,,[],0.0,51.76
#ZQHDYWMRA4,116810,2025-03-07 18:40:29,2025-03-07 08:00:00,807880,INV/2025/00791,44.81,2025-04-06 18:40:29,Faire,30 Days,,[],0.0,44.81
#EKF8S34BMB,125048,2025-03-07 21:20:59,2025-03-07 12:59:59,807954,INV/2025/00793,171.69,2025-04-06 21:20:59,Faire,30 Days,,[],0.0,171.69
#VC78NTXDGC,119577,2025-03-07 21:44:04,2025-03-07 12:59:59,807965,INV/2025/00794,409.65,2025-04-06 21:44:04,Faire,30 Days,,[],0.0,409.65
#QNR58U6HJ7,125049,2025-03-07 22:15:29,2025-03-07 12:59:59,809928,INV/2025/00796,330.39,2025-04-06 22:15:29,Faire,30 Days,,[],0.0,330.39
#6QNK6XM6XZ,125046,2025-03-07 22:25:34,2025-03-07 12:59:59,809932,INV/2025/00797,55.64,2025-04-06 22:25:34,Faire,30 Days,,[],0.0,55.64
#ZTXM3YB4VC,125045,2025-03-07 22:42:15,2025-03-07 12:59:59,809934,INV/2025/00798,67.03,2025-04-06 22:42:15,Faire,30 Days,,[],0.0,67.03
#EHR6SHQ58X,115994,2025-03-07 22:57:24,2025-03-07 12:59:59,809938,INV/2025/00799,147.36,2025-04-06 22:57:24,Faire,30 Days,,[],0.0,147.36
#GZUPY5AZ4T,116004,2025-03-07 23:17:21,2025-03-07 12:59:59,809945,INV/2025/00800,110.0,2025-04-06 23:17:21,Faire,30 Days,,[],0.0,110.0
#4UXEJCEH9P,115810,2025-03-10 14:26:58,2025-03-07 12:59:59,812103,INV/2025/00802,312.44,2025-04-09 14:26:58,Faire,30 Days,,[],0.0,312.44
#3YPQASBMKT,115640,2025-03-10 14:55:42,2025-03-07 12:59:59,812679,INV/2025/00804,186.36,2025-04-09 14:55:42,Faire,30 Days,,[],0.0,186.36
#HADMC7BBZ9,115463,2025-03-10 15:04:20,2025-03-07 12:59:59,812988,INV/2025/00805,163.41,2025-04-09 15:04:20,Faire,30 Days,,[],0.0,163.41
#8H7DM8NH2F,115673,2025-03-10 15:19:00,2025-03-07 12:59:59,813521,INV/2025/00806,286.97,2025-04-09 15:19:00,Faire,30 Days,,[],0.0,286.97
#WF3TVTAKRG,115624,2025-03-10 16:18:29,2025-03-10 14:56:26,815751,INV/2025/00810,336.73,2025-04-09 16:18:29,Faire,30 Days,,[],0.0,336.73
#RKVAT7PHSP,115803,2025-03-10 17:29:49,2025-03-03 19:49:27,818952,INV/2025/00819,482.31,2025-04-09 17:29:49,Faire,30 Days,,[],0.0,482.31
#257W34X8EJ,115387,2025-03-10 20:38:57,2025-03-03 18:39:03,819490,INV/2025/00838,571.15,2025-04-09 20:38:57,Faire,30 Days,,[],0.0,571.15
#77C69ZSTW5,115464,2025-03-11 18:03:02,2025-03-11 00:34:21,821852,INV/2025/00859,646.73,2025-04-10 18:03:02,Faire,30 Days,,[],0.0,646.73
#YM89FVRNMA,115802,2025-03-11 19:27:08,2025-03-10 18:29:20,821919,INV/2025/00861,402.38,2025-04-10 19:27:08,Faire,30 Days,,[],0.0,402.38
#GQ3H6V5EPH,115976,2025-03-11 21:59:47,2025-03-17 12:59:59,822147,INV/2025/00868,106.6,2025-04-10 21:59:47,Faire,30 Days,,[],0.0,106.6
#N95WYXP3SD,116036,2025-03-12 17:55:28,2025-03-17 12:59:59,825314,INV/2025/00884,203.69,2025-04-11 17:55:28,Faire,30 Days,,[],0.0,203.69
#7HDUS2UW7F,116035,2025-03-12 17:56:49,2025-03-17 12:59:59,825317,INV/2025/00885,57.75,2025-04-11 17:56:49,Faire,30 Days,,[],0.0,57.75
#63NKTNEZ6P,116034,2025-03-12 17:58:13,2025-03-17 11:59:59,825328,INV/2025/00887,212.21,2025-04-11 17:58:13,Faire,30 Days,,[],0.0,212.21
#HSU8G88BA4,115317,2025-03-13 16:09:20,2025-03-14 14:56:04,828061,INV/2025/00908,319.11,2025-04-12 16:09:20,Faire,30 Days,,[],0.0,319.11
S03889,126632,2025-03-13 17:50:53,2025-03-13 17:47:57,828239,INV/2025/00923,2321.0,2025-04-12 17:50:53,Wholesale,30 Days,,[],0.0,2321.0
#9X595DHMTR,115313,2025-03-13 20:31:06,2025-03-15 05:57:36,828497,INV/2025/00926,5682.52,2025-04-12 20:31:06,Faire,30 Days,,[],0.0,5682.52
#UW6WYGKSYR,115456,2025-03-14 16:53:57,2025-03-17 12:59:59,830041,INV/2025/00935,164.46,2025-04-13 16:53:57,Faire,30 Days,,[],0.0,164.46
#YQWDSWGV4N,115320,2025-03-14 17:24:26,2025-03-17 12:59:59,830062,INV/2025/00938,62.81,2025-04-13 17:24:26,Faire,30 Days,,[],0.0,62.81
S03796,119755,2025-03-14 19:07:22,2025-03-15 07:00:00,830145,INV/2025/00947,774.0,2025-03-14 19:07:22,Wholesale,Due on Ship,,[],0.0,774.0
#4SPB6TB6K4,115667,2025-03-17 16:29:28,2025-03-17 12:59:59,834290,INV/2025/00960,83.18,2025-04-16 16:29:28,Faire,30 Days,,[],0.0,83.18
#NR3W6XGT8M,116087,2025-03-17 16:37:56,2025-03-17 12:59:59,834302,INV/2025/00963,95.88,2025-04-16 16:37:56,Faire,30 Days,,[],0.0,95.88
#TCTZ62NY7Q,115656,2025-03-17 16:53:31,2025-03-17 12:59:59,834310,INV/2025/00965,90.79,2025-04-16 16:53:31,Faire,30 Days,,[],0.0,90.79
#PKH6A9Q7DZ,115793,2025-03-17 17:48:51,2025-03-17 12:59:59,834397,INV/2025/00973,408.94,2025-04-16 17:48:51,Faire,30 Days,,[],0.0,408.94
#YKEDA7C2YW,116085,2025-03-17 20:21:55,2025-03-17 21:27:21,835136,INV/2025/00987,620.65,2025-04-16 20:21:55,Faire,30 Days,,[],0.0,620.65
#GXGCRZ2BFM,116033,2025-03-17 20:51:59,2025-03-17 20:46:24,835152,INV/2025/00988,596.61,2025-04-16 20:51:59,Faire,30 Days,,[],0.0,596.61
#4GQ8KMCVEQ,115643,2025-03-17 21:01:36,2025-03-17 12:59:59,835159,INV/2025/00989,250.15,2025-04-16 21:01:36,Faire,30 Days,,[],0.0,250.15
#TDJYTNGQ64,115811,2025-03-17 21:32:11,2025-03-17 12:59:59,835198,INV/2025/00994,1110.13,2025-04-16 21:32:11,Faire,30 Days,,[],0.0,1110.13
#VAJYB99Y8S,116037,2025-03-18 15:05:19,2025-03-17 11:59:59,838604,INV/2025/00998,284.15,2025-04-17 15:05:19,Faire,30 Days,,[],0.0,284.15
#TUE9Z2NF3N,116038,2025-03-18 15:07:09,2025-03-17 12:59:59,838607,INV/2025/00999,57.75,2025-04-17 15:07:09,Faire,30 Days,,[],0.0,57.75
#YDRKFFQM8A,116039,2025-03-18 15:08:58,2025-03-17 12:59:59,838611,INV/2025/01000,166.95,2025-04-17 15:08:58,Faire,30 Days,,[],0.0,166.95
#Y8X4QTFM5Z,115642,2025-03-18 16:39:50,2025-03-17 11:59:59,839438,INV/2025/01010,906.2,2025-04-17 16:39:50,Faire,30 Days,,[],0.0,906.2
#RAAEMG8H2V,116063,2025-03-18 20:12:36,2025-03-03 12:59:59,841803,INV/2025/01019,178.32,2025-04-17 20:12:36,Faire,30 Days,,[],0.0,178.32
S03582,114346,2025-03-18 20:27:30,2025-03-15 19:00:00,841872,INV/2025/01022,2655.0,2025-04-17 20:27:30,Wholesale,30 Days,,[],0.0,2655.0
#6KD7CJW5EP,115312,2025-03-18 20:35:05,2025-03-03 12:59:59,841879,INV/2025/01024,90.73,2025-04-17 20:35:05,Faire,30 Days,,[],0.0,90.73
#3GAXJBU3GT,115383,2025-03-18 20:46:39,2025-03-03 12:59:59,841891,INV/2025/01027,62.05,2025-04-17 20:46:39,Faire,30 Days,,[],0.0,62.05
#295GVRQHU4,116008,2025-03-18 20:49:41,2025-03-03 12:59:59,841894,INV/2025/01028,91.13,2025-04-17 20:49:41,Faire,30 Days,,[],0.0,91.13
S03578,114345,2025-03-18 21:18:12,2025-03-15 18:00:00,841992,INV/2025/01031,2655.0,2025-04-17 21:18:12,Wholesale,30 Days,,[],0.0,2655.0
#3DRY65TZEV,128196,2025-03-18 22:01:05,2025-03-15 20:42:22,842092,INV/2025/01037,4493.55,2025-04-17 22:01:05,Faire,30 Days,,[],0.0,4493.55
S03457,128203,2025-03-18 22:18:16,2025-03-18 22:18:00,842124,INV/2025/01041,247.0,2025-04-17 22:18:16,Wholesale,30 Days,,[],0.0,247.0
#TFX5WGQHX5,128350,2025-03-20 17:22:47,2025-03-19 04:44:27,847133,INV/2025/01068,423.75,2025-04-19 17:22:47,Faire,30 Days,,[],0.0,423.75
#CTQ4GW847C,128568,2025-03-20 17:25:14,2025-03-19 21:18:59,847136,INV/2025/01069,218.49,2025-04-19 17:25:14,Faire,30 Days,,[],0.0,218.49
#2CGPBSQ3X7,128557,2025-03-20 17:28:21,2025-03-19 21:18:44,847152,INV/2025/01070,428.33,2025-04-19 17:28:21,Faire,30 Days,,[],0.0,428.33
#62PTHZRHX7,128555,2025-03-20 17:36:19,2025-03-19 21:18:41,847162,INV/2025/01071,242.05,2025-04-19 17:36:19,Faire,30 Days,,[],0.0,242.05
#EF43GQW7FB,128556,2025-03-20 17:41:36,2025-03-19 21:18:42,847173,INV/2025/01072,319.6,2025-04-19 17:41:36,Faire,30 Days,,[],0.0,319.6
#U7RZVV3X2B,128560,2025-03-20 17:49:26,2025-03-19 21:18:47,847188,INV/2025/01073,578.86,2025-04-19 17:49:26,Faire,30 Days,,[],0.0,578.86
#7SC7BXP26V,128566,2025-03-20 17:57:30,2025-03-19 21:18:55,847223,INV/2025/01074,1085.51,2025-04-19 17:57:30,Faire,30 Days,,[],0.0,1085.51
#RTZSYZ5WTP,128352,2025-03-20 18:07:22,2025-03-19 04:44:29,847259,INV/2025/01076,1435.77,2025-04-19 18:07:22,Faire,30 Days,,[],0.0,1435.77
#8CTXYY55AP,128644,2025-03-20 18:24:14,2025-03-20 17:09:45,847502,INV/2025/01078,273.41,2025-04-19 18:24:14,Faire,30 Days,,[],0.0,273.41
#BPYXMHA48Y,128648,2025-03-20 18:59:35,2025-03-20 17:09:50,847820,INV/2025/01079,37.93,2025-04-19 18:59:35,Faire,30 Days,,[],0.0,37.93
